location,date,day,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed
United Kingdom,2020-01-31,30,2.0,,,
United Kingdom,2020-02-01,31,0.0,,,
United Kingdom,2020-02-02,32,0.0,,,
United Kingdom,2020-02-03,33,6.0,,,
United Kingdom,2020-02-04,34,0.0,,,
United Kingdom,2020-02-05,35,1.0,1.286,,0.0
United Kingdom,2020-02-06,36,0.0,1.286,,0.0
United Kingdom,2020-02-07,37,0.0,1.0,,0.0
United Kingdom,2020-02-08,38,4.0,1.571,,0.0
United Kingdom,2020-02-09,39,1.0,1.714,,0.0
United Kingdom,2020-02-10,40,0.0,0.857,,0.0
United Kingdom,2020-02-11,41,1.0,1.0,,0.0
United Kingdom,2020-02-12,42,1.0,1.0,,0.0
United Kingdom,2020-02-13,43,1.0,1.143,,0.0
United Kingdom,2020-02-14,44,1.0,1.286,,0.0
United Kingdom,2020-02-15,45,0.0,0.7140000000000001,,0.0
United Kingdom,2020-02-16,46,0.0,0.5710000000000001,,0.0
United Kingdom,2020-02-17,47,1.0,0.7140000000000001,,0.0
United Kingdom,2020-02-18,48,0.0,0.5710000000000001,,0.0
United Kingdom,2020-02-19,49,1.0,0.5710000000000001,,0.0
United Kingdom,2020-02-20,50,2.0,0.7140000000000001,,0.0
United Kingdom,2020-02-21,51,1.0,0.7140000000000001,,0.0
United Kingdom,2020-02-22,52,0.0,0.7140000000000001,,0.0
United Kingdom,2020-02-23,53,5.0,1.429,,0.0
United Kingdom,2020-02-24,54,2.0,1.571,,0.0
United Kingdom,2020-02-25,55,4.0,2.1430000000000002,,0.0
United Kingdom,2020-02-26,56,3.0,2.4290000000000003,,0.0
United Kingdom,2020-02-27,57,7.0,3.1430000000000002,,0.0
United Kingdom,2020-02-28,58,12.0,4.7139999999999995,,0.0
United Kingdom,2020-02-29,59,5.0,5.428999999999999,,0.0
United Kingdom,2020-03-01,60,33.0,9.429,,0.0
United Kingdom,2020-03-02,61,40.0,14.857000000000001,,0.0
United Kingdom,2020-03-03,62,55.0,22.143,,0.0
United Kingdom,2020-03-04,63,57.0,29.857,,0.0
United Kingdom,2020-03-05,64,49.0,35.857,,0.0
United Kingdom,2020-03-06,65,79.0,45.428999999999995,1.0,0.14300000000000002
United Kingdom,2020-03-07,66,55.0,52.571000000000005,1.0,0.28600000000000003
United Kingdom,2020-03-08,67,54.0,55.571000000000005,0.0,0.28600000000000003
United Kingdom,2020-03-09,68,147.0,70.857,1.0,0.429
United Kingdom,2020-03-10,69,259.0,100.0,4.0,1.0
United Kingdom,2020-03-11,70,412.0,150.714,0.0,1.0
United Kingdom,2020-03-12,71,489.0,213.571,2.0,1.286
United Kingdom,2020-03-13,72,480.0,270.857,1.0,1.286
United Kingdom,2020-03-14,73,364.0,315.0,19.0,3.8569999999999998
United Kingdom,2020-03-15,74,443.0,370.57099999999997,14.0,5.857
United Kingdom,2020-03-16,75,615.0,437.42900000000003,23.0,9.0
United Kingdom,2020-03-17,76,770.0,510.42900000000003,17.0,10.857000000000001
United Kingdom,2020-03-18,77,1005.0,595.143,34.0,15.714
United Kingdom,2020-03-19,78,1066.0,677.571,46.0,22.0
United Kingdom,2020-03-20,79,1258.0,788.7139999999999,32.0,26.429000000000002
United Kingdom,2020-03-21,80,1215.0,910.2860000000001,58.0,32.0
United Kingdom,2020-03-22,81,1389.0,1045.4289999999999,36.0,35.143
United Kingdom,2020-03-23,82,2349.0,1293.143,76.0,42.714
United Kingdom,2020-03-24,83,2382.0,1523.4289999999999,148.0,61.428999999999995
United Kingdom,2020-03-25,84,2717.0,1768.0,191.0,83.85700000000001
United Kingdom,2020-03-26,85,3127.0,2062.429,182.0,103.286
United Kingdom,2020-03-27,86,3249.0,2346.857,288.0,139.857
United Kingdom,2020-03-28,87,2843.0,2579.429,292.0,173.28599999999997
United Kingdom,2020-03-29,88,2892.0,2794.143,213.0,198.571
United Kingdom,2020-03-30,89,4327.0,3076.7140000000004,374.0,241.143
United Kingdom,2020-03-31,90,4534.0,3384.143,404.0,277.714
United Kingdom,2020-04-01,91,4974.0,3706.571,673.0,346.57099999999997
United Kingdom,2020-04-02,92,4929.0,3964.0,657.0,414.42900000000003
United Kingdom,2020-04-03,93,4981.0,4211.429,737.0,478.57099999999997
United Kingdom,2020-04-04,94,4073.0,4387.143,757.0,545.0
United Kingdom,2020-04-05,95,3650.0,4495.429,601.0,600.429
United Kingdom,2020-04-06,96,5316.0,4636.714,570.0,628.429
United Kingdom,2020-04-07,97,5486.0,4772.714,1105.0,728.571
United Kingdom,2020-04-08,98,5163.0,4799.714,1032.0,779.857
United Kingdom,2020-04-09,99,4906.0,4796.429,1117.0,845.571
United Kingdom,2020-04-10,100,4367.0,4708.714,1123.0,900.7139999999999
United Kingdom,2020-04-11,101,3613.0,4643.0,844.0,913.143
United Kingdom,2020-04-12,102,3539.0,4627.143,657.0,921.143
United Kingdom,2020-04-13,103,4205.0,4468.429,725.0,943.2860000000001
United Kingdom,2020-04-14,104,4348.0,4305.857,1080.0,939.7139999999999
United Kingdom,2020-04-15,105,5100.0,4296.857,884.0,918.571
United Kingdom,2020-04-16,106,5343.0,4359.286,1040.0,907.571
United Kingdom,2020-04-17,107,4990.0,4448.286,914.0,877.7139999999999
United Kingdom,2020-04-18,108,4736.0,4608.714,1108.0,915.429
United Kingdom,2020-04-19,109,3860.0,4654.571,433.0,883.429
United Kingdom,2020-04-20,110,4866.0,4749.0,576.0,862.143
