,pc_guess_fem_1,pc_guess_unknown_1,pc_detect_fem_1,pc_detect_unknown_1pc_guess_fem_3,pc_guess_unknown_3,pc_detect_fem_3,pc_detect_unknown_3,pc_guess_fem_5,pc_guess_unknown_5,pc_detect_fem_5,pc_detect_unknown_5,pc_guess_fem_10,pc_guess_unknown_10,pc_detect_fem_10,pc_detect_unknown_10,pc_detect_unknown_1,pc_guess_fem_3,pc_detect_fem_10_upper,pc_detect_fem_10_lower,pc_guess_fem_10_upper,pc_guess_fem_10_lower
2020,,,,,,,,,,,,,,,,,,,,,
2019,0.5,0.18518518518518517,0.5714285714285714,,0.10096153846153846,0.46357615894039733,0.27403846153846156,0.40069686411149824,0.1059190031152648,0.41841004184100417,0.2554517133956386,0.43478260869565216,0.14056939501779359,0.42997542997543,0.27580071174377224,0.2222222222222222,0.4385026737967914,0.498925607911373,0.36102525203948693,0.46992495745010054,0.3996402599412038
2018,0.3220338983050847,0.09230769230769231,0.34782608695652173,,0.06435643564356436,0.4217687074829932,0.2722772277227723,0.3879003558718861,0.10793650793650794,0.39035087719298245,0.2761904761904762,0.4349680170575693,0.13468634686346864,0.42377260981912146,0.2859778597785978,0.2923076923076923,0.4126984126984127,0.4952670747637709,0.352278144874472,0.4686396037734365,0.40129643034170215
2017,0.4880952380952381,0.056179775280898875,0.47619047619047616,,0.0891089108910891,0.3973509933774834,0.2524752475247525,0.3931297709923664,0.11784511784511785,0.37962962962962965,0.2727272727272727,0.4606741573033708,0.14092664092664092,0.44623655913978494,0.28185328185328185,0.29213483146067415,0.40217391304347827,0.5166998796031054,0.3757732386764645,0.49590581753503105,0.42544249707171056
2016,0.391304347826087,0.041666666666666664,0.42105263157894735,,0.14285714285714285,0.36134453781512604,0.2608695652173913,0.39814814814814814,0.16602316602316602,0.3763440860215054,0.28185328185328185,0.4552238805970149,0.1589958158995816,0.44281524926686217,0.28661087866108786,0.20833333333333334,0.35507246376811596,0.5144679689321341,0.3711625296015902,0.4949728345719103,0.4154749266221195
2015,0.2777777777777778,0.16923076923076924,0.28,,0.175,0.3130434782608696,0.28125,0.4312796208530806,0.17898832684824903,0.3967391304347826,0.2840466926070039,0.45897435897435895,0.17547568710359407,0.4431137724550898,0.2938689217758985,0.23076923076923078,0.3333333333333333,0.5165810028990645,0.3696465420111152,0.5028432807502574,0.41510543719846044
2014,0.42105263157894735,0.20833333333333334,0.41935483870967744,,0.2054794520547945,0.40816326530612246,0.3287671232876712,0.4846938775510204,0.18672199170124482,0.44642857142857145,0.3029045643153527,0.4573643410852713,0.16774193548387098,0.44,0.3010752688172043,0.3541666666666667,0.45689655172413796,0.5152688172043011,0.36473118279569894,0.49929982495623904,0.41542885721430356
2013,0.325,0.14893617021276595,0.2647058823529412,,0.1736111111111111,0.44660194174757284,0.2847222222222222,0.5053191489361702,0.17180616740088106,0.4716981132075472,0.29955947136563876,0.44072164948453607,0.16916488222698073,0.4212121212121212,0.29336188436830835,0.2765957446808511,0.5042016806722689,0.4945525923041983,0.3478716501200441,0.48301287004128124,0.3984304289277909
2012,0.631578947368421,0.2549019607843137,0.5454545454545454,,0.1917808219178082,0.5145631067961165,0.2945205479452055,0.5573770491803278,0.17194570135746606,0.5384615384615384,0.29411764705882354,0.4322916666666667,0.1724137931034483,0.42073170731707316,0.29310344827586204,0.35294117647058826,0.559322033898305,0.4940075693860387,0.34745584524810763,0.47539511494252873,0.38918821839080464
2011,0.5609756097560976,0.10869565217391304,0.5277777777777778,,0.14728682170542637,0.5217391304347826,0.2868217054263566,0.521505376344086,0.1506849315068493,0.5225806451612903,0.2922374429223744,0.40414507772020725,0.15904139433551198,0.40307692307692305,0.29193899782135074,0.21739130434782608,0.5272727272727272,0.4760616725322607,0.3300921736215854,0.44390542630408525,0.36438472913632924
